case_id,category_level_1,category_level_2,notes,insights
24-02395.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved debts and failed to provide documentation.,
24-02401.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling approximately $48,000.",
24-02408.h1,Financial,Chronic delinquent debt,Applicant has multiple delinquent debts and recent bankruptcy.,
24-02410.h1,Drugs,Failure to disclose use,Applicant omitted drug use on security application.,
24-02426.h1,Financial,Chronic delinquent debt,"Applicant has significant unpaid debts totaling approximately $53,000.",
24-02429.h1,Drugs,Pattern of recurring use,Applicant has a long history of marijuana use from 2017 to 2024.,
24-02434.h1,Drugs,Pattern of recurring use,Applicant has used marijuana regularly for over 14 years.,
24-02448.h1,Drugs,Use during clearance process,Applicant admitted marijuana use while in a sensitive position.,
24-02450.h1,Drugs,Failure to disclose use,Applicant omitted marijuana use in security clearance application.,
24-02469.h1,Foreign Influence,Close and continuing foreign contacts,Applicant has significant familial ties in Russia.,
24-02470.h1,Drugs,Use during clearance process,Applicant admitted past THC use during employment.,
24-02473.h1,Financial,Chronic delinquent debt,Applicant has significant past-due debts and filed for bankruptcy.,
24-02485.h1,Financial,Chronic delinquent debt,"Applicant admitted to over $26,000 in delinquent debts.",
24-02486.h1,Technology Misuse / Information Security,Unauthorized access to systems,"Applicant manipulated IT systems without authorization, raising security concerns.",
24-02487.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $43,500.",
25-00026.h1,Criminal Conduct,Felony conviction,Applicant had felony charges for sexual assault as a teenager.,
25-00050.h1,Psychological Conditions,Condition affecting judgment or reliability,Applicant has a history of mental health issues affecting reliability.,
25-00052.h1,Psychological Conditions,Condition affecting judgment or reliability,Applicant has unresolved mental health issues impacting judgment.,
25-00060.h1,Financial,Chronic delinquent debt,"Applicant has 34 unresolved debts, indicating chronic financial issues.",
25-00061.h1,Financial,Chronic delinquent debt,"Applicant has significant past-due debts totaling about $29,839.",
25-00067.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
25-00073.h1,Financial,Failure to file required financial disclosures,Applicant failed to file state and federal taxes on time.,
25-00080.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling about $31,000.",
25-00082.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling around $20,000.",
25-00087.h1,Drugs,Failure to disclose use,Applicant falsified drug use on SF-86 and during interviews.,
25-00088.h1,Drugs,Failure to disclose use,Applicant admitted to illegal drug use and omissions on e-QIP.,
25-00137.h1,Drugs,Pattern of recurring use,Applicant has a long history of marijuana use from 2013 to 2024.,
25-00139.h1,Drugs,Use of federally illegal substances despite state legality,Applicant admitted to illegal drug use despite state legality.,
25-00147.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved delinquent debts post-bankruptcy.,
25-00161.h1,Financial,Unpaid taxes,Applicant failed to file multiple years of tax returns.,
25-00169.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling about $18,500.",
25-00176.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved delinquent debts totaling over $61,000.",
25-00182.h1,Financial,Chronic delinquent debt,"Applicant has 18 delinquent accounts totaling about $35,500.",
25-00208.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved debts and unpaid taxes.,
25-00227.h1,Financial,Chronic delinquent debt,Applicant has unresolved charged-off car loan and past delinquent accounts.,
25-00231.h1,Financial,Chronic delinquent debt,"Applicant has 17 delinquent accounts totaling ~$33,000.",
25-00241.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $52,000.",
25-00242.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling over $18,000.",
25-00252.h1,Financial,Chronic delinquent debt,"Applicant has three unpaid debts totaling about $34,000.",
25-00257.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved delinquent debts.,
25-00263.h1,Drugs,Use during clearance process,Applicant admitted to past marijuana use but ceased upon realizing clearance implications.,
25-00281.h1,Financial,Failure to file required financial disclosures,Applicant failed to file federal and state tax returns for multiple years.,
25-00284.h1,Foreign Influence,Financial ties to foreign persons or entities,Applicant has family in India and financial support obligations.,
25-00336.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved delinquent accounts totaling over $123,000.",
25-00339.h1,Financial,Failure to file required financial disclosures,Applicant failed to timely file federal and state tax returns.,
25-00376.h1,Financial,Chronic delinquent debt,Applicant has significant unpaid debts and failed to mitigate concerns.,
25-00397.h1,Drugs,Use after submitting SF-86,"Applicant used marijuana after declaring he wouldn't, while holding a clearance.",
25-00492.h1,Financial,Chronic delinquent debt,"Applicant has multiple debts and judgments, indicating financial instability.",
25-00590.h1,Drugs,Pattern of recurring use,Applicant has significant history of illegal substance use.,
25-00704.h1,Alcohol Consumption,Pattern of binge drinking,Applicant has a history of excessive alcohol use and treatment.,
